originalname,Clname,CLID,type
colonocyte,colon epithelial cell,CL:0011108,epithelial cell
epithelial tumor cell / adenocarcinoma cells,NA,NA,malignant cell
stroma cell,stromal cell,CL:0000499,stromal cell
intestinal stem cell or transit-amplifying cells,"NA,transit amplifying cell","NA,CL:0009010","stem cell,transit amplifying cell"
secretory luminal epithelial cell,NA,NA,epithelial cell
t helper 17 (th17) cell or lymphocytes,T-helper 17 cell,CL:0000899,t/nk cell
vascular smooth muscle cell or myofibroblasts,"vascular associated smooth muscle cell,myofibroblast cell","CL:0000359,CL:0000186","muscle cell,myofibroblast cell"
na,NA,NA,NA
biliary epithelial cell,NA,NA,epithelial cell
cholinergic amacrine cell,NA,NA,neuron
cholinergic neurons,cholinergic neuron,CL:0000108,neuron
ciliary body cell,NA,NA,blood vessel cell
clec9a+ dendritic cell,NA,NA,dendritic cell
colonocytes / absorptive cell,"colon epithelial cell,absorptive cell","CL:0011108,CL:0000212","epithelial cell,absorptive cell"
colonocytes / goblet cell,"colon epithelial cell,goblet cell","CL:0011108,CL:0000160",epithelial cell
cornea epithelial cell,corneal epithelial cell,CL:0000575,epithelial cell
cytotoxic effector t cell,NA,NA,t/nk cell
dendritic cell / antigen-presenting cells,"dendritic cell,professional antigen presenting cell","CL:0000451,CL:0000145","dendritic cell,antigen presenting cell"
ductal progenitor cell,NA,NA,progenitor cell
early transit-amplifying prostate epithelial cell,NA,NA,epithelial cell
effector cd4+ t cell,"effector CD4-positive, alpha-beta T cell",CL:0001044,t/nk cell
effector cd8 t cell,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
endometrial stromal cell,stromal cell of endometrium,CL:0002255,stromal cell
endothelial cell / fibroblasts,"endothelial cell,fibroblast","CL:0000115,CL:0000057","endothelial cell,fibroblast"
endothelial cell / smooth muscle cells,"endothelial cell,smooth muscle cell","CL:0000115,CL:0000192","endothelial cell,muscle cell"
