"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement","gpt4mar23_annotation","gpt4mar23_CLname","gpt4mar23_CLID","gpt4mar23_broadtype","gpt4mar23_agreement","gpt3.5aug3_annotation","gpt3.5aug3_CLname","gpt3.5aug3_CLID","gpt3.5aug3_broadtype","gpt3.5aug3_agreement","CellMarker2.0_annotation","CellMarker2.0_CLname","CellMarker2.0_CLID","CellMarker2.0_broadtype","CellMarker2.0_agreement","SingleR_annotation","SingleR_CLname","SingleR_CLID","SingleR_broadtype","SingleR_agreement","ScType_annotation","ScType_CLname","ScType_CLID","ScType_broadtype","ScType_agreement"
"Azimuth","PBMC","MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B","Intermediate B cell","transitional stage B cell","CL:0000818","b cell","B Cells","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"Germinal center B cell","germinal center B cell","CL:0000844","b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781","Memory B cell","memory B cell","CL:0000787","b cell","B Cells","B cell","CL:0000236","b cell",0.5,"Transitional B cells","transitional stage B cell","CL:0000818","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"Germinal center B cell","germinal center B cell","CL:0000844","b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3","Naive B cell","naive B cell","CL:0000788","b cell","B Cells","B cell","CL:0000236","b cell",0.5,"Naive B cells","naive B cell","CL:0000788","b cell",1,"B cells","B cell","CL:0000236","b cell",0.5,"Germinal center B cell","germinal center B cell","CL:0000844","b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2","Plasmablast","plasmablast","CL:0000980","b cell","Plasma Cells","plasma cell","CL:0000786","b cell",0.5,"Marginal zone B cells",NA,NA,"b cell",0.5,"Plasma cells","plasma cell","CL:0000786","b cell",0.5,"Dividing plasma B cell",NA,NA,"b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7","CD4+ Cytotoxic T","CD4-positive, alpha-beta cytotoxic T cell","CL:0000934","t/nk cell","NK Cells","natural killer cell","CL:0000623","t/nk cell",0.5,"CD4+ Cytotoxic T cells","CD4-positive, alpha-beta cytotoxic T cell","CL:0000934","t/nk cell",1,"Cytotoxic T cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Activated CD25+ regulatory T cell",NA,NA,"t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1","CD4+ Naive T","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895","t/nk cell","Memory T Helper Cells",NA,NA,"t/nk cell",0.5,"Naive CD4+ T cells","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895","t/nk cell",1,"T helper cells","helper T cell","CL:0000912","t/nk cell",0.5,"Naive CD4 T cell","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895","t/nk cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2","CD4+ Proliferating T",NA,NA,"t/nk cell","Proliferating Cells",NA,NA,NA,0,"Proliferating cells",NA,NA,NA,0,"Proliferating cells",NA,NA,NA,0,"Cycling cell",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL","CD4+ Central Memory T","central memory CD4-positive, alpha-beta T cell","CL:0000904","t/nk cell","Helper T Cells","helper T cell","CL:0000912","t/nk cell",0.5,"Central memory CD4+ T cells","central memory CD4-positive, alpha-beta T cell","CL:0000904","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",0.5,"Activated CD25+ regulatory T cell",NA,NA,"t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3","CD4+ Effector Memory T","effector memory CD4-positive, alpha-beta T cell","CL:0000905","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Effector memory CD4+ T cells","effector memory CD4-positive, alpha-beta T cell","CL:0000905","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",0.5,"Effector memory CD8 T cell","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2","Regulatory T","regulatory T cell","CL:0000815","t/nk cell","T Regulatory Cells","regulatory T cell","CL:0000815","t/nk cell",1,"Regulatory T cells (Tregs)","regulatory T cell","CL:0000815","t/nk cell",1,"Regulatory T cells","regulatory T cell","CL:0000815","t/nk cell",1,"Regulatory CD4 T cell","CD4-positive, CD25-positive, alpha-beta regulatory T cell","CL:0000792","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
