"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
"HCL_top10",NA,"BEX3, STMN1, HNRNPA1, SOX4, LDHB, SKP1, SNRPE, HMGB1, RPL10A, ID3","Fetal epithelial progenitor",NA,NA,"progenitor cell","Neurons","neuron","CL:0000540","neuron",0
"HCL_top10",NA,"CTSB, FTL, C1QB, LAPTM5, TYROBP, PSAP, C1QA, HLA-DRA, CTSD, NPC2","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
"HCL_top10",NA,"JCHAIN, IGHA1, SSR4, MZB1, IGKC, IGHA2, HERPUD1, DERL3, SEC11C, FKBP11","B cell (Plasmocyte)","plasma cell","CL:0000786","b cell","Plasma Cells","plasma cell","CL:0000786","b cell",1
"HCL_top10",NA,"C1S, TIMP2, COL6A3, SEMA3C, MMP2, GSN, IGFBP6, MFAP4, COL6A1, PLAC9","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
"HCL_top10",NA,"PEBP1, MRPL33, STAR, RARRES2, CLU, CYP21A2, CYP17A1, AKR1B1, NOV, TPD52L1","Fasciculata cell","type II cell of adrenal cortex","CL:0002136","epithelial cell","Adrenal Cells",NA,NA,"adrenal gland cell",0
"HCL_top10",NA,"TRAC, CD3D, TRBC1, LTB, CD52, TRBC2, PABPC1, RP11-543P15.1, CALM1, IL2RG","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
"HCL_top10",NA,"MDK, LGALS1, STMN1, DCN, COL1A2, BEX3, COL1A1, COL3A1, NREP, TUBB","Fetal mesenchymal progenitor","mesenchymal cell","CL:0008019","mesenchymal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0
"HCL_top10",NA,"IFI27, TM4SF1, HLA-B, HLA-E, A2M, SOCS3, IGFBP7, SPARCL1, IFITM2, IFITM3","Endothelial cell (APC)","endothelial cell","CL:0000115","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1
"HCL_top10",NA,"LGALS4, PIGR, FXYD3, PHGR1, C15orf48, KRT19, TSPAN8, KRT8, EPCAM, LGALS3","Enterocyte progenitor",NA,NA,"progenitor cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",0
"HCL_top10",NA,"COL5A1, MEST, DLK1, OGN, LUM, POSTN, COL5A2, FSTL1, ISLR, GPC3","Fetal stromal cell","stromal cell","CL:0000499","stromal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5
"HCL_top10",NA,"MLLT11, GPM6A, TMSB15A, UCHL1, NREP, TUBB2B, POU3F3, HN1, NNAT, FABP7","Fetal neuron","neuron","CL:0000540","neuron","Neurons","neuron","CL:0000540","neuron",1
"HCL_top10",NA,"RPS23, RPS3, RPS27A, RPS6, RPS3A, UROD, AHSP, BLVRB, RPS14, RPS17","Erythroid progenitor cell (RP high)","erythroid progenitor cell","CL:0000038","progenitor cell","Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0
"HCL_top10",NA,"FCER1G, AIF1, FCN1, CTSS, LST1, TYROBP, LYZ, CD52, LAPTM5, OAZ1","Monocyte","monocyte","CL:0000576","macrophage/monocyte","Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0
"HCL_top10",NA,"AGR2, MT1G, TSPAN8, MT1H, MT1E, FABP1, AGR3, LGALS2, GSTA1, SPINK1","Fetal enterocyte","enterocyte","CL:0000584","epithelial cell","Colonocytes","colon epithelial cell","CL:0011108","epithelial cell",0.5
"HCL_top10",NA,"RBP2, TTR, APOA1, GSTA1, FABP1, FABP2, SERPINA1, FTL, SMIM24, APOC3","Hepatocyte/Endodermal cell","hepatocyte,endodermal cell","CL:0000182,CL:0000223","epithelial cell,embryonic cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",0.5
"HCL_top10",NA,"FOS, RPL34, RPL31, RPS18, RPS14, RPL7, TMSB10, RPS27A, RPS3A, RPL35A","Fetal fibroblast","fibroblast","CL:0000057","fibroblast","Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0
"HCL_top10",NA,"TMSB4X, A2M, GNG11, TMSB10, B2M, IFITM3, RAMP2, COL4A1, PRCP, TM4SF1","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1
