"dataset","tissue","celltype","marker"
"tabulasapiens_top10","Bladder","t cell","IL7R,CXCR4,IL32,CD3D,CD2,CD3E,KLRB1,CCL5,TRBC2,CD52"
"tabulasapiens_top10","Bladder","macrophage","CD163,AIF1,C1QA,IL1B,LYZ,C1QB,RNASE1,TYROBP,MS4A6A,FCER1G"
"tabulasapiens_top10","Bladder","myofibroblast cell","PLAT,A2M,LUM,PDGFRA,COL3A1,PDPN,MFAP4,NR2F1,CCN1,F3"
"tabulasapiens_top10","Bladder","bladder urothelial cell","KRT19,S100P,CLDN4,DHRS2,PSCA,ELF3,SPINK1,TACSTD2,GPX2,KRT8"
"tabulasapiens_top10","Bladder","capillary endothelial cell","CLDN5,ADGRL4,CLEC14A,VWF,SOX17,FLT1,EMCN,PLVAP,ESAM,SOX18"
"tabulasapiens_top10","Bladder","smooth muscle cell","DES,ACTG2,MYH11,ACTC1,CNN1,SYNM,MYLK,PCP4,SMTN,SYNPO2"
"tabulasapiens_top10","Bladder","fibroblast","PLA2G2A,IGFBP6,MGP,DCN,SFRP2,ADH1B,APOD,C1R,EFEMP1,GPX3"
"tabulasapiens_top10","Bladder","pericyte cell","TAGLN,ACTA2,RGS5,MYH11,MYL9,AP002956.1,TPM2,PPP1R14A,SORBS2,CSRP2"
"tabulasapiens_top10","Bladder","mast cell","TPSB2,TPSAB1,CPA3,HPGDS,MS4A2,RHEX,IL1RL1,KIT,CD69,VWA5A"
"tabulasapiens_top10","Bladder","nk cell","GZMB,GZMA,NKG7,GNLY,IL32,PRF1,CCL5,CD2,CD3D,CST7"
"tabulasapiens_top10","Bladder","endothelial cell of lymphatic vessel","CCL21,TFF3,CLDN5,MMRN1,ECSCR,KANK3,PCAT19,NTS,SCN3B,FLT4"
"tabulasapiens_top10","Bladder","vein endothelial cell","ACKR1,AQP1,PLVAP,VWF,CLDN5,PECAM1,IFI27,TM4SF1,EMCN,ADGRL4"
"tabulasapiens_top10","Bladder","b cell","MS4A1,HLA-DQA1,CD79A,BANK1,TNFRSF13C,NAPSB,TNFRSF13B,STAG3,SPIB,BLK"
"tabulasapiens_top10","Bladder","plasma cell","JCHAIN,IGHA1,IGHA2,IGKC,MZB1,DERL3,IGLC3,SEC11C,IGHG1,FKBP11"
"tabulasapiens_top10","Bladder","plasmacytoid dendritic cell","AL139020.1,LILRA4,LINC00996,SCT,CLEC4C,PTCRA,FAM129C,PACSIN1,SLC32A1,AL357143.1"
"tabulasapiens_top20","Bladder","t cell","IL7R,CXCR4,IL32,CD3D,CD2,CD3E,KLRB1,CCL5,TRBC2,CD52,TRAC,LEPROTL1,CD69,LTB,CD7,CD3G,CYTIP,CD48,PTPRC,TRBC1"
"tabulasapiens_top20","Bladder","macrophage","CD163,AIF1,C1QA,IL1B,LYZ,C1QB,RNASE1,TYROBP,MS4A6A,FCER1G,S100A9,F13A1,CCL3,CD14,C5AR1,S100A8,HLA-DRA,C1QC,MS4A7,CXCL8"
"tabulasapiens_top20","Bladder","myofibroblast cell","PLAT,A2M,LUM,PDGFRA,COL3A1,PDPN,MFAP4,NR2F1,CCN1,F3,ADAMTS1,ITGA8,MEG3,HSD17B2,TRPA1,RARRES2,TCF21,PDLIM3,PITX1,CRISPLD2"
"tabulasapiens_top20","Bladder","bladder urothelial cell","KRT19,S100P,CLDN4,DHRS2,PSCA,ELF3,SPINK1,TACSTD2,GPX2,KRT8,KRT18,KRT13,SNCG,KRT7,GDF15,SFN,KRT17,AGR2,AQP3,KLF5"
