"simuround","noise","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
1,0.25,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MIR138-2,LOC112590819","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
1,0.25,"CR2,CD24,FAS,CXCR3,CD1c,LOC105370410","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
1,0.25,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,DBR1,RPL7AP38,MTATP6P2,SELENOK,CARM1,F8A3,MRPS33P4","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
1,0.25,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,DDX49,LOC105371196,MTND1P30,LOC105373682","Luminal Epithelial",NA,NA,"epithelial cell","Breast Epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
1,0.25,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,TAGLN2","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.25,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,ZNF836,ZNF677,LOC112267903,LOC121740722","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
1,0.25,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,COILP1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
1,0.25,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,VTRNA1-2,TRIM13","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial cells","myoepithelial cell","CL:0000185","epithelial cell",1
1,0.25,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,SIRT5,NT5E","Pericyte","pericyte","CL:0000669","pericyte","Smooth Muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
1,0.25,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,COX6CP14,GOLGA6L10,TRMT11","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.25,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,TRL-CAG1-1,LOC101901829,SAP30-DT","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
1,0.25,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RFPL4AL1,ARHGEF3,ISY1","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
1,0.5,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,XCL1,DNAJA1P5,LOC100130044,LOC110120608,KNOP1P5","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
1,0.5,"CR2,CD24,FAS,CXCR3,CD1c,LIPT1,LOC112268123","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
1,0.5,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,RNU11-6P,FAM86FP,TERF1P1,LOC107986297,LOC112268147,HIGD1AP15,CYP2W1,CCDC148-AS1,LOC115945147,LOC107986289,C6orf47-AS1,TTC39C,MTHFD2,SUPT3H","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
1,0.5,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC121331342,LINC02052,LOC121627825,LOC107987411,YWHAQ,MIR6832,LOC105373369,KHNYN","Luminal Epithelial",NA,NA,"epithelial cell","Luminal Epithelial Cells",NA,NA,"epithelial cell",0.5
1,0.5,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,ANKRA2,DEPP1,LOC121009656","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.5,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC116276446,PPIAP32,KCNAB3,LOC116309146,RN7SL425P,TRAV9-2,ERVK-31,NTMT1,UBR7","Macrophage","macrophage","CL:0000235","macrophage/monocyte","M2 Macrophages","alternatively activated macrophage","CL:0000890","macrophage/monocyte",0.5
1,0.5,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,MIR210,EBNA1BP2,ZNF133-AS1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
1,0.5,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,USP7,UBE2V1P9,LOC123620092,PNMA8A","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial Cells","myoepithelial cell","CL:0000185","epithelial cell",1
1,0.5,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105376318,BCDIN3D-AS1,OR2AT2P,LOC101929759","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
1,0.5,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TAS2R33,LOC121627838,ZNF836,LINC01567,NRBP1,PIN1,SNORD92","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.5,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,SSTR5-AS1,ST14,CDCA4P4,FMN1,RALYL,LINC02312","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
