"simuround","subset","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
1,0.25,"ADIPOQ,PLIN2","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes, Lipid metabolizing cells","fat cell,NA","CL:0000136,NA","fat cell",0.5
1,0.25,"CR2","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
1,0.25,"S100A4,COL6A2,DCN,HGF,IGFBP3,IGFBP5,FN1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts, Dermal Fibroblasts","fibroblast,NA","CL:0000057,NA","fibroblast",0.5
1,0.25,"KIT,SOX9,KRT7,MUC1","Luminal Epithelial",NA,NA,"epithelial cell","Epithelial cells, Gastric Epithelial cells","epithelial cell,NA","CL:0000066,NA","epithelial cell",0.5
1,0.25,"LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.25,"PTPRC,MSR1,C1QA,CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages, Microglia","macrophage,microglial cell","CL:0000235,CL:0000129","macrophage/monocyte,microglia",0.5
1,0.25,"TPSAB1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
1,0.25,"TP63,MME","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal cells, Epidermal Stem Cells","basal cell,stem cell of epidermis","CL:0000646,CL:1000428","stem cell",0
1,0.25,"DES,MYO1B","Pericyte","pericyte","CL:0000669","pericyte","Muscle cells, Myocytes","muscle cell","CL:0000187","muscle cell",0
1,0.25,"MYL9,ACTN1,ACTG2","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.25,"CD3G,CD96,SKAP1","T cell","T cell","CL:0000084","t/nk cell","T cells, Cytotoxic T cells","T cell,cytotoxic T cell","CL:0000084,CL:0000910","t/nk cell",0.5
1,0.25,"PECAM1,PECAM1,EPHB4","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
1,0.5,"GHR,FOXO1,PPARG,PLIN2,ACSL1","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes, T cells","fat cell,T cell","CL:0000136,CL:0000084","fat cell,t/nk cell",0.5
1,0.5,"CXCR3,CD24","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
1,0.5,"SLIT2,FBLN1,COL6A2,COL3A1,NEGR1,VIM,FBN1,COL5A1,IGFBP5,FN1,COL5A2,HGF,S100A4,COL6A6","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
1,0.5,"KRT7,SOX9,HES2,KLF5,MUC1,KRT8,KRT19,AFF3","Luminal Epithelial",NA,NA,"epithelial cell","Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0.5
1,0.5,"LYVE1,RELN,FLT4","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.5,"MS4A6A,MRC1,CD36,CSF1R,PTPRC,MSR1,LYVE1,CD163,CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
1,0.5,"CD69,HDC,KIT","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
1,0.5,"TP63,MME,KRT5,MYH11","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial Stem Cells, Smooth Muscle Cells","epithelial fate stem cell,smooth muscle cell","CL:0000036,CL:0000192","stem cell,muscle cell",0
1,0.5,"CSPG4,ACTA2,DES,MCAM","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
1,0.5,"DES,SMTN,CALD1,ACTG2,VCL,PALLD,TAGLN","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.5,"CD69,PTPRC,CD3D,CD3E,IL7R,SKAP1","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
1,0.5,"PECAM1,PTPRB,EGFL7,EPHB4,LDB2,CD300LG,LDB2","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
1,0.75,"LPIN1,PPARG,ACSL1,GHR,PLIN2,EBF1,PLIN1","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
1,0.75,"CD24,FAS,CXCR3","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
1,0.75,"FN1,HGF,COL5A2,COL3A1,COL1A2,CCN2,COL1A1,FBN1,IL33,FGF7,IGFBP5,COL5A1,DDR2,IGFBP3,COL18A1,SLIT2,VIM,COL6A2,S100A4,NEGR1,FBLN1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
1,0.75,"MUC1,TFCP2L1,AFF3,KRT18,PRLR,SOX10,EPCAM,KRT8,KLF5,ELF5,KRT7,ESR1","Luminal Epithelial",NA,NA,"epithelial cell","Breast Epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
1,0.75,"MMRN1,LYVE1,RELN,FLT4,PROX1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.75,"CD36,RBPJ,CD163,MS4A6A,MS4A4A,MS4A6A,LYZ,CPM,CD74,CD68,CSF1R,MSR1,MERTK,MRC1","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5
1,0.75,"FCER1A,HDC,TPSB2,TPSAB1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
1,0.75,"ACTA2,MME,CALD1,TP63,KRT5,KRT14","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial Cells","myoepithelial cell","CL:0000185","epithelial cell",1
1,0.75,"MCAM,ANPEP,CSPG4,PDGFRB,DES,ACTA2","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
1,0.75,"ACTA2,CALD1,TAGLN,CNN1,ACTG2,SMTN,ACTN1,MYH11,VCL,MYOCD,PALLD","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.75,"CD3E,CD3G,THEMIS,NKG7,SKAP1,CD96,CD3D,TRBC1,CD69","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
1,0.75,"LDB2,VWF,CDH5,EPHB4,NOSTRIN,BACE2,CD300LG,PTPRB,RAMP3,EGFL7","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
2,0.25,"G0S2,ACSL1","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
2,0.25,"CXCR3","B cell_memory","memory B cell","CL:0000787","b cell","T cells","T cell","CL:0000084","t/nk cell",0
2,0.25,"COL4A1,NEGR1,DDR2,COL1A1,FBN1,COL5A1,COL1A2","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
2,0.25,"SOX10,HES2,KIT,MUC1","Luminal Epithelial",NA,NA,"epithelial cell","Melanocytes","melanocyte","CL:0000148","melanocyte",0
2,0.25,"LYVE1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
2,0.25,"PTPRC,CD68,MSR1,CD163","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
2,0.25,"HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
2,0.25,"TP63,MYH11","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
2,0.25,"ANPEP,ACTA2","Pericyte","pericyte","CL:0000669","pericyte","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
2,0.25,"GUCY1B3,TAGLN,DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
2,0.25,"TRAC,TRBC1,IL7R","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
2,0.25,"BACE2,VWF,LDB2","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
2,0.5,"PPARG,PLIN2,FOXO1,ADIPOQ,LPIN1","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
2,0.5,"CD24,CXCR3","B cell_memory","memory B cell","CL:0000787","b cell","T cells","T cell","CL:0000084","t/nk cell",0
2,0.5,"NEGR1,FN1,HGF,SLIT2,IL6,FBLN1,FN1,S100A4,IL33,FBN1,COL6A1,COL1A1,COL6A2,COL18A1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
2,0.5,"KRT7,PRLR,HES2,TFCP2L1,KRT19,KRT8,ELF5,ESR1","Luminal Epithelial",NA,NA,"epithelial cell","Luminal Epithelial Breast Cells","luminal epithelial cell of mammary gland","CL:0002326","epithelial cell",0.5
2,0.5,"MMRN1,FLT4,PROX1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
2,0.5,"CD163,PTPRC,RBPJ,C1QA,CD36,LYZ,MS4A6A,MRC1,MERTK","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
2,0.5,"TPSB2,TPSAB1,HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
2,0.5,"KRT5,CALD1,MME,MYH11","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0
2,0.5,"MCAM,DES,ACTA2,CSPG4","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
