simuround,celltype,gene,annotation,score
1,"Pericyte,Luminal Epithelial","ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4, HES2, TFCP2L1, KLF5, SOX10, ELF5, SOX9, AFF3, KRT8, EPCAM, KIT, KRT18, ESR1, PGR, KRT7, PRLR, KRT19, MUC1",Myoepithelial / Pericytes,1
1,"Mast Cell,Adipocyte","TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC, EBF1, G0S2, PLIN1, PLIN2, LPIN1, FOXO1, PPARG, ACSL1, ADIPOQ, GHR",Mast Cells / Adipocytes,1
1,"B cell_memory,Mast Cell","CR2, CD24, FAS, CXCR3, CD1c, TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC",Dendritic Cells / Mast Cells,1
1,"T cell,B cell_memory","CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1, CR2, CD24, FAS, CXCR3, CD1c",T Lymphocytes / B Lymphocytes,1
1,"T cell,Fibroblast","CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1, FN1, S100A4, FGF7, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM",Fibroblasts / Myofibroblasts,1
1,"Adipocyte,Lymphatic Endothelial","EBF1, G0S2, PLIN1, PLIN2, LPIN1, FOXO1, PPARG, ACSL1, ADIPOQ, GHR, LYVE1, MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1",Adipocytes / Lymphatic Endothelial Cells,1
1,"Lymphatic Endothelial,Smooth Muscle","LYVE1, MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1, CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES",Smooth Muscle Cells / Myofibroblasts,1
1,"Macrophage,Smooth Muscle","MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68, CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES",Macrophages / Smooth Muscle Cells,1
1,"Mast Cell,Pericyte","TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC, ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4",Mast Cells / Myoepithelial / Pericytes,1
1,"Lymphatic Endothelial,Vascular Endothelial","LYVE1, MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1, LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5",Endothelial Cells / Lymphatic Endothelial Cells,1
1,Pericyte,"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4",Pericytes,1
1,Vascular Endothelial,"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5",Endothelial Cells,1
1,Lymphatic Endothelial,"LYVE1, MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1",Lymphatic Endothelial Cells,1
1,Smooth Muscle,"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES",Smooth Muscle Cells,1
1,B cell_memory,"CR2, CD24, FAS, CXCR3, CD1c",B Lymphocytes,1
1,Myoepithelial (Basal),"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11",Basal Cells,1
1,Macrophage,"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68",Macrophages,1
1,Adipocyte,"EBF1, G0S2, PLIN1, PLIN2, LPIN1, FOXO1, PPARG, ACSL1, ADIPOQ, GHR",Adipocytes,1
1,Luminal Epithelial,"HES2, TFCP2L1, KLF5, SOX10, ELF5, SOX9, AFF3, KRT8, EPCAM, KIT, KRT18, ESR1, PGR, KRT7, PRLR, KRT19, MUC1",Luminal Cells,1
1,Fibroblast,"FN1, S100A4, FGF7, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM",Fibroblasts,1
2,"Adipocyte,Luminal Epithelial","EBF1, G0S2, PLIN1, PLIN2, LPIN1, FOXO1, PPARG, ACSL1, ADIPOQ, GHR, HES2, TFCP2L1, KLF5, SOX10, ELF5, SOX9, AFF3, KRT8, EPCAM, KIT, KRT18, ESR1, PGR, KRT7, PRLR, KRT19, MUC1",Adipocytes,0
2,"Fibroblast,Macrophage","FN1, S100A4, FGF7, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM, MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68",Stroma/Fibroblasts and Macrophages,1
2,"Smooth Muscle,Vascular Endothelial","CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES, LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5",Vascular Smooth Muscle Cells / Myofibroblasts,1
