"simuround","noise","celltype","gene","annotation"
1,0.25,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MIR138-2,LOC112590819","Adipocytes"
1,0.25,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC105370410","B cells"
1,0.25,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,DBR1,RPL7AP38,MTATP6P2,SELENOK,CARM1,F8A3,MRPS33P4","Fibroblasts"
1,0.25,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,DDX49,LOC105371196,MTND1P30,LOC105373682","Breast Epithelial cells"
1,0.25,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,TAGLN2","Lymphatic endothelial cells"
1,0.25,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,ZNF836,ZNF677,LOC112267903,LOC121740722","Macrophages"
1,0.25,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,COILP1","Mast cells"
1,0.25,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,VTRNA1-2,TRIM13","Myoepithelial cells"
1,0.25,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,SIRT5,NT5E","Smooth Muscle cells"
1,0.25,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,COX6CP14,GOLGA6L10,TRMT11","Smooth Muscle cells"
1,0.25,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,TRL-CAG1-1,LOC101901829,SAP30-DT","T cells"
1,0.25,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RFPL4AL1,ARHGEF3,ISY1","Endothelial cells"
1,0.5,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,XCL1,DNAJA1P5,LOC100130044,LOC110120608,KNOP1P5","Adipocytes"
1,0.5,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LIPT1,LOC112268123","B cells"
1,0.5,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,RNU11-6P,FAM86FP,TERF1P1,LOC107986297,LOC112268147,HIGD1AP15,CYP2W1,CCDC148-AS1,LOC115945147,LOC107986289,C6orf47-AS1,TTC39C,MTHFD2,SUPT3H","Fibroblasts"
1,0.5,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC121331342,LINC02052,LOC121627825,LOC107987411,YWHAQ,MIR6832,LOC105373369,KHNYN","Luminal Epithelial Cells"
1,0.5,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,ANKRA2,DEPP1,LOC121009656","Lymphatic Endothelial Cells"
1,0.5,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC116276446,PPIAP32,KCNAB3,LOC116309146,RN7SL425P,TRAV9-2,ERVK-31,NTMT1,UBR7","M2 Macrophages"
1,0.5,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,MIR210,EBNA1BP2,ZNF133-AS1","Mast Cells"
1,0.5,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,USP7,UBE2V1P9,LOC123620092,PNMA8A","Myoepithelial Cells"
1,0.5,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105376318,BCDIN3D-AS1,OR2AT2P,LOC101929759","Pericytes"
