simuround,subset,celltype,gene,annotation
1,0.25,Adipocyte,"ADIPOQ,PLIN2","Adipocytes, Lipid metabolizing cells"
1,0.25,B cell_memory,CR2,B cells
1,0.25,Fibroblast,"S100A4,COL6A2,DCN,HGF,IGFBP3,IGFBP5,FN1","Fibroblasts, Dermal Fibroblasts"
1,0.25,Luminal Epithelial,"KIT,SOX9,KRT7,MUC1","Epithelial cells, Gastric Epithelial cells"
1,0.25,Lymphatic Endothelial,LYVE1,Lymphatic Endothelial Cells
1,0.25,Macrophage,"PTPRC,MSR1,C1QA,CD68","Macrophages, Microglia"
1,0.25,Mast Cell,TPSAB1,Mast cells
1,0.25,Myoepithelial (Basal),"TP63,MME","Basal cells, Epidermal Stem Cells"
1,0.25,Pericyte,"DES,MYO1B","Muscle cells, Myocytes"
1,0.25,Smooth Muscle,"MYL9,ACTN1,ACTG2",Smooth Muscle Cells
1,0.25,T cell,"CD3G,CD96,SKAP1","T cells, Cytotoxic T cells"
1,0.25,Vascular Endothelial,"PECAM1,PECAM1,EPHB4",Endothelial cells
1,0.5,Adipocyte,"GHR,FOXO1,PPARG,PLIN2,ACSL1","Adipocytes, T cells"
1,0.5,B cell_memory,"CXCR3,CD24",B cells
1,0.5,Fibroblast,"SLIT2,FBLN1,COL6A2,COL3A1,NEGR1,VIM,FBN1,COL5A1,IGFBP5,FN1,COL5A2,HGF,S100A4,COL6A6",Fibroblasts
1,0.5,Luminal Epithelial,"KRT7,SOX9,HES2,KLF5,MUC1,KRT8,KRT19,AFF3",Epithelial Cells
1,0.5,Lymphatic Endothelial,"LYVE1,RELN,FLT4",Lymphatic Endothelial Cells
1,0.5,Macrophage,"MS4A6A,MRC1,CD36,CSF1R,PTPRC,MSR1,LYVE1,CD163,CD68",Macrophages
1,0.5,Mast Cell,"CD69,HDC,KIT",Mast Cells
1,0.5,Myoepithelial (Basal),"TP63,MME,KRT5,MYH11","Epithelial Stem Cells, Smooth Muscle Cells"
1,0.5,Pericyte,"CSPG4,ACTA2,DES,MCAM",Pericytes
1,0.5,Smooth Muscle,"DES,SMTN,CALD1,ACTG2,VCL,PALLD,TAGLN",Smooth Muscle Cells
1,0.5,T cell,"CD69,PTPRC,CD3D,CD3E,IL7R,SKAP1",T Cells
1,0.5,Vascular Endothelial,"PECAM1,PTPRB,EGFL7,EPHB4,LDB2,CD300LG,LDB2",Endothelial Cells
1,0.75,Adipocyte,"LPIN1,PPARG,ACSL1,GHR,PLIN2,EBF1,PLIN1",Adipocytes
1,0.75,B cell_memory,"CD24,FAS,CXCR3",B cells
